# Binary Descriptors
# location_x location_y location_z summary occupy_array_length occupy_array
-54.238969 -30.930868 -0.030850 12 49 0000000001100100010001000100100010010000100100010
-25.848587 -23.545273 -0.734312 15 49 0000000010101010101010010110010101010100000000000
-49.378188 -20.988405 -0.387448 11 49 0000000000010010010001001001001000101000000100100
-20.739307 -22.989831 -0.839855 11 49 0000000000110101010100000110101010000000000000000
-37.729646 -18.968811 -0.648572 14 49 0000000000010010110100101001010010100101001000000
-1.256112 -16.393353 -1.364196 16 49 0000000111111111111111100000000000000000000000000
-41.841997 -15.026553 -0.683071 13 49 0000000000001001010010010010100100101001010010000
-39.684743 -13.861138 -0.752967 13 49 0000000000000000101010010010010101101001010010000
-8.183851 -13.527292 -1.319579 11 49 0000000000000000000001111111111100000000000000000
-29.362101 -9.472000 -1.055108 14 49 0000000000001011110101010101011101000000000000000
-5.717006 -9.319013 -1.477760 22 49 0000000000111111111111111111111100000000000000000
7.053807 -9.273292 -1.705032 14 49 0000000000000000011111111111111000000000000000000
-25.805334 -6.402882 -1.201579 17 49 0000000000010101101011011010101101101100000000000
4.316706 -3.465234 -1.814646 20 49 0000000000111110111111111111111000000000000000000
13.009428 -4.155061 -1.949723 12 49 0000000000000000000001111111111110000000000000000
23.207110 -5.152806 -2.103058 18 49 0000000000011011101111101110110110100000000000000
34.667726 -4.419795 -2.325844 13 49 0000000000010010110010101010101001100100000000000
42.782367 -3.892343 -2.483817 10 49 0000000000100101001001001010000100001001000000000
10.634045 -2.088315 -1.963925 10 49 0000000001111111111000000000000000000000000000000
15.573962 -2.991980 -2.026764 19 49 0000000000000011111111111111110111000000000000000
23.676395 -2.534258 -2.182623 17 49 0000000000000110110111011111011011010000000000000
-15.893105 1.642804 -1.595964 27 49 0000000000011111111111111111111111111100000000000
-11.880154 5.456429 -1.770770 24 49 0000000000111111111011101011111111111000000000000
4.037047 5.501629 -2.053715 24 49 0000000000111111111111111111111111000000000000000
3.658625 8.003347 -2.115097 13 49 0000000000111111111111100000000000000000000000000
11.521386 8.931987 -2.279530 20 49 0000000000000011111111111111111011100000000000000
18.101465 9.105611 -2.400714 21 49 0000000000000011111111111111101111011000000000000
-24.644498 9.437799 -1.653203 17 49 0000000000000001101001011011010110100110110100000
4.560516 11.608211 -2.229160 25 49 0000000000010111111111111111111111111000000000000
7.150196 11.720070 -2.278038 18 49 0000000000000000111101101111011111111000000000000
-25.154030 13.618056 -1.757944 14 49 0000000000000000000000011010110101011010101101000
-3.787504 13.042612 -2.120445 27 49 0000000000011111110111111111111111111110000000000
1.852143 12.148062 -2.195916 19 49 0000000000000000000111111111111111111100000000000
12.672917 12.039831 -2.384485 21 49 0000000000000000011111111111111111111100000000000
30.637759 13.216307 -2.734457 13 49 0000000000000101010100010101000101010011010000000
-30.920175 16.520102 -1.734865 15 49 0000000000000000000101010010111010101010101001100
-27.209388 14.903055 -1.756536 12 49 0000000000000000000000101010101010101101010100000
-20.818354 14.975286 -1.871615 10 49 0000000000101111011011010000000000000000000000000
-22.301178 17.117953 -1.903680 14 49 0000000000111011110110101101010000000000000000000
-6.754007 17.428756 -2.187304 18 49 0000000000000001100000001111011111111101110000000
-2.290885 16.969236 -2.253790 19 49 0000000000000000101100011011011111111111100000000
-23.355882 35.441756 -2.383665 10 49 0000000000000000010010100000100010000000010101101
