# Planes
# center_x center_y center_z normal_x normal_y normal_z
34.778038 0.660123 -0.342156 0.689494 -0.567088 0.450566
37.580528 5.673645 -1.648980 -0.043657 0.000399 0.999047
32.758572 -1.333727 -1.508422 -0.002074 0.044391 0.999012
39.011433 5.015916 -1.593951 -0.006711 0.056245 0.998394
30.221277 0.772897 -1.529642 0.010451 -0.021560 0.999713
35.297394 -1.701077 -1.296551 0.219336 0.065977 -0.973416
28.879639 2.984027 -1.575867 0.002095 0.030398 0.999536
31.161381 -1.103013 -1.526093 0.001340 0.036193 0.999344
34.907730 -2.834437 -1.335104 -0.063064 0.071546 0.995442
40.879417 4.935920 -1.584102 -0.000608 0.050283 0.998735
29.088327 0.980958 -1.523554 -0.005052 0.000455 0.999987
36.837715 -3.391088 -1.265449 -0.004656 0.020631 0.999776
33.090549 -2.818830 -1.387649 -0.016598 0.121624 0.992437
28.976749 -1.017115 -1.535487 -0.022879 0.017619 0.999583
31.092768 -2.903922 -1.412401 -0.017253 0.103281 0.994503
27.147226 1.053211 -1.551315 0.007752 -0.009631 -0.999924
25.225946 4.963358 -1.680804 0.003178 0.036405 0.999332
36.898712 -8.764631 -1.866262 0.003443 0.998551 0.053703
29.066837 -2.933705 -1.442200 -0.018320 0.113930 0.993320
27.087193 -1.056673 -1.542295 0.026049 0.046177 0.998594
39.514206 0.656429 -1.534894 -0.016037 -0.024899 0.999561
23.172916 2.992952 -1.621600 0.001716 0.026904 0.999637
23.254011 4.985454 -1.688690 -0.000898 0.032390 0.999475
22.954943 6.874774 -1.726657 -0.004958 0.026352 0.999640
46.801811 7.027443 -1.663891 -0.004192 0.020683 0.999777
47.404991 -0.159347 -1.498221 -0.006444 0.064280 0.997911
21.007481 4.998392 -1.714035 -0.016173 0.025946 0.999533
20.624912 6.997349 -1.755703 0.000254 0.015951 0.999873
27.497259 -7.217103 -1.440926 0.841232 0.359873 0.403510
20.673954 2.906069 -1.651490 -0.005203 0.033464 0.999426
20.626295 8.520520 -1.784704 0.010187 0.030567 0.999481
44.771492 8.734867 -1.387856 0.307565 0.031531 0.951005
21.074543 1.002727 -1.587416 -0.007886 0.034406 0.999377
25.108099 -1.178436 -1.409527 0.049951 0.242007 0.968988
21.166033 -0.955946 -1.595989 -0.007244 0.001994 0.999972
19.063326 2.989296 -1.679841 -0.018927 0.032084 0.999306
49.099335 -0.352991 -1.481529 -0.004474 0.071105 0.997459
20.459948 -2.447832 -1.576587 0.011935 0.006692 0.999906
18.961020 1.001017 -1.634733 -0.035942 0.030733 0.998881
50.891865 7.033957 -1.660104 -0.008165 0.039183 0.999199
