# frame_id descriptor_time query_time update_time
0 14.5596 0.017706 0.527448
1 11.6216 0.025426 0.459474
2 9.839 0.0245 0.808299
3 9.83629 0.023902 0.606734
4 10.0133 0.025346 0.694434
5 9.68301 0.023371 0.542088
6 9.75081 0.023476 1.01538
7 9.58999 0.024297 0.646218
8 10.2456 0.027987 0.734523
9 9.34694 0.025418 0.603339
10 9.32779 0.024386 0.668063
11 9.35693 0.018745 0.56029
12 9.65177 0.019436 0.651891
13 9.28012 0.019247 0.686424
14 9.52709 0.019748 1.19167
15 9.83198 0.019151 0.527466
16 10.0912 0.018898 0.599586
17 10.3729 0.021005 0.747792
18 10.2938 0.02071 0.723192
19 10.2447 0.021799 0.825659
20 9.83348 0.018928 0.721526
21 9.77737 0.018765 0.691761
22 9.74621 0.020211 0.647623
23 9.44424 0.017913 0.754894
24 13.7597 0.0298 0.860226
25 9.47811 0.018797 0.629527
26 9.36538 0.018643 0.606991
27 9.15921 0.018494 0.487717
28 9.21087 0.018566 0.625707
29 9.18609 0.018071 0.668409
30 8.37297 0.024358 0.694126
31 8.34774 0.018526 2.23062
32 8.50557 0.018415 0.597033
33 8.32964 0.018985 0.56346
34 8.09857 0.019102 0.560465
35 8.03638 0.018462 0.533871
36 8.04842 0.018523 0.506429
37 8.18274 0.018316 0.594737
38 8.13356 0.019702 0.657272
39 7.98206 0.019353 0.667444
40 7.87755 0.018947 0.428192
41 7.93429 0.01886 0.478797
42 8.23457 0.0253 0.679009
43 8.01973 0.01901 0.512662
44 7.54478 0.019033 0.429618
45 7.92439 0.01889 0.638827
46 8.0294 0.01899 0.575938
47 8.34599 0.018831 0.663996
48 9.02921 0.019355 0.658444
49 8.67275 0.019381 0.698695
